Feature,OLS,Ridge,LASSO,Huber
MedInc,-0.7089712673133413,-0.7088354909776706,-0.642443660161544,-0.7384894423002418
HouseAge,-0.0510447087915661,-0.05101589429414119,-0.0542903106157443,-0.0572261555932192
AveRooms,0.8741397021841968,0.8736181851705451,0.6552201324383335,0.9334640357419188
AveBedrms,-0.7413704587282424,-0.7409219905216224,-0.5368809638119746,-0.7776248539655164
Population,-0.0140052639276951,-0.0139968653267107,-0.0064186041517068,-0.0019495585564898998
AveOccup,0.014226486165223498,0.014220398482166597,0.0121901968828831,-0.02815344370728462
Latitude,-0.4998806781961893,-0.4993537358619955,-0.4542772693521716,-0.5581000233539593
Longitude,-0.4372517523785878,-0.4367549353259046,-0.4046331790862058,-0.4971015961267796
