Model,RMSE,MAE,R2
OLS,0.7455813830127763,0.5332001304956565,0.575787706032451
Ridge,0.745556744281478,0.533193119578971,0.5758157428913682
LASSO,0.7404423656125412,0.5353261423609051,0.5816154300698728
Huber,0.7584447344094543,0.5158456705614544,0.5610237531143668
