Repeat,Model,Contamination,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
0,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
0,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
0,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
0,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
1,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
1,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
1,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
1,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
2,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
2,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
2,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
2,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
3,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
3,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
3,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
3,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
4,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
4,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
4,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
4,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
5,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
5,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
5,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
5,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
6,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
6,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
6,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
6,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
7,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
7,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
7,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
7,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
8,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
8,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
8,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
8,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
9,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
9,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
9,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
9,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
10,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
10,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
10,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
10,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
11,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
11,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
11,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
11,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
12,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
12,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
12,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
12,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
13,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
13,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
13,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
13,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
14,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
14,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
14,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
