Feature,OLS,Ridge,LASSO,Huber
MedInc,0.8543830309268539,0.8543267867472052,0.8009574381665295,0.9179849913899123
HouseAge,0.12254623807840594,0.1226239711757879,0.12708700893832775,0.09969089574242354
AveRooms,-0.29441013447329967,-0.2942103580099913,-0.162759312755374,-0.3627496944354585
AveBedrms,0.3392594905944845,0.3390079357063822,0.20620745313617939,0.4086432193810706
Population,-0.0023077231458299534,-0.00228220595591465,-0.0,0.009197950123442156
AveOccup,-0.040829103085087054,-0.040833015809367046,-0.03060176164269006,-0.35251712906576116
Latitude,-0.8969288766386592,-0.8961675853210036,-0.7901125382833233,-0.7556787836940806
Longitude,-0.869841775241711,-0.8690707430379072,-0.7556737928328258,-0.7519678060844891
