Feature,OLS,Ridge,LASSO,Huber
MedInc,0.1454117636135126,0.14549129576953462,0.15851377800498567,0.17949554908967064
HouseAge,0.07150152928683982,0.07160807688164675,0.07279669832258344,0.042464740149204386
AveRooms,0.5797295677108972,0.5794078271605538,0.49246081968295957,0.5707143413064604
AveBedrms,-0.40211096813375796,-0.4019140548152402,-0.3306735106757953,-0.36898163458444583
Population,-0.016312987073525017,-0.016279071282625367,-0.006418604151706826,0.007248391566952292
AveOccup,-0.026602616919863525,-0.026612617327200477,-0.018411564759806903,-0.3806705727730457
Latitude,-1.3968095548348485,-1.3955213211829993,-1.244389807635495,-1.3137788070480398
Longitude,-1.3070935276202988,-1.3058256783638118,-1.1603069719190315,-1.2490694022112687
