Repeat,Model,Contamination,RMSE,MAE,R2
0,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
0,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
0,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
0,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
1,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
1,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
1,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
1,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
2,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
2,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
2,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
2,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
3,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
3,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
3,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
3,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
4,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
4,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
4,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
4,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
5,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
5,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
5,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
5,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
6,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
6,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
6,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
6,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
7,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
7,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
7,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
7,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
8,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
8,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
8,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
8,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
9,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
9,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
9,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
9,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
10,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
10,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
10,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
10,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
11,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
11,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
11,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
11,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
12,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
12,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
12,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
12,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
13,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
13,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
13,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
13,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
14,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
14,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
14,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
14,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
15,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
15,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
15,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
15,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
16,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
16,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
16,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
16,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
17,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
17,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
17,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
17,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
18,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
18,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
18,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
18,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
19,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
19,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
19,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
19,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
20,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
20,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
20,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
20,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
21,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
21,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
21,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
21,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
22,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
22,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
22,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
22,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
23,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
23,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
23,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
23,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
24,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
24,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
24,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
24,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
25,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
25,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
25,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
25,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
26,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
26,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
26,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
26,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
27,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
27,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
27,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
27,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
28,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
28,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
28,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
28,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
29,OLS,0.0,0.7455813830127764,0.5332001304956565,0.5757877060324508
29,Ridge,0.0,0.745556744281478,0.5331931195789734,0.5758157428913682
29,LASSO,0.0,0.7404423656125413,0.5353261423609053,0.5816154300698728
29,Huber,0.0,0.7584447344094588,0.515845670561454,0.5610237531143614
0,OLS,0.05,0.7490344551398768,0.5327398510788475,0.57184922852112
0,Ridge,0.05,0.7490154375103155,0.5327398915133863,0.571870969335168
0,LASSO,0.05,0.7446370607998205,0.5360850913992831,0.5768616046412178
0,Huber,0.05,0.7599471096448651,0.5173002899659361,0.5592829268974865
1,OLS,0.05,0.7441258453230687,0.531763438861287,0.5774423993789384
1,Ridge,0.05,0.744105206015469,0.5317574071718074,0.5774658394338814
1,LASSO,0.05,0.7402189539965961,0.5338467469255801,0.5818678680061005
1,Huber,0.05,0.7578861563126251,0.5172218415162824,0.5616701079830886
2,OLS,0.05,0.7435228207227893,0.5302906412313404,0.5781269862194549
2,Ridge,0.05,0.7435060333914195,0.5302858141109142,0.5781460361851869
2,LASSO,0.05,0.7408104375949099,0.533352765487225,0.5811993709122214
2,Huber,0.05,0.7584657383834439,0.5167642137007213,0.5609994392179846
3,OLS,0.05,0.7460187602069447,0.5348722914043679,0.5752898523880577
3,Ridge,0.05,0.7459965636214759,0.5348653139810099,0.575315125143515
3,LASSO,0.05,0.7413982193366134,0.537741626219598,0.5805345287137891
3,Huber,0.05,0.7590037663082448,0.5174231106280865,0.5603763963496016
4,OLS,0.05,0.7484978282317959,0.5319187613071485,0.5724624844834347
4,Ridge,0.05,0.7484665751547563,0.5319084315185638,0.5724981868821525
4,LASSO,0.05,0.7414461453157697,0.5327896525653013,0.5804802962037159
4,Huber,0.05,0.7617768572954645,0.5175539306244885,0.5571581163233803
5,OLS,0.05,0.7456744456437411,0.5363558049756891,0.5756818000190147
