Model,RMSE,MAE,R2
OLS,0.7454825605337143,0.5332174728385738,0.5759001523280638
Ridge,0.7454603760134616,0.5332118713957568,0.5759253931912758
LASSO,0.7408884652620414,0.5356986242270392,0.5811111438695951
Huber,0.7587143230290482,0.5246530254000382,0.5607116300880515
